,,,,,,,,,,,,,,,,,,,South Area,14,n.miles,,,,,Sesulu,40,n.miles,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Names of Rig, Platform, Etc.",,,,,,,,,,,,,4.0,2025-11-28 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-28 00:00:00,16150,1.026765846525526,,Calendar Month:,2025-12-01 00:00:00,,,2025-11-28 00:00:00,,2025-11-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-28 00:00:00,15729
,Currency Exchange,,,,,,,,,,,,,5.0,2025-11-29 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-29 00:00:00,16150,1.024746192893401,,,,,,2025-11-29 00:00:00,,2025-11-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-29 00:00:00,15760
,,,,,,,,,,,,,,6.0,2025-11-30 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-11-30 00:00:00,16150,1.0265700483091786,,,,,,2025-11-30 00:00:00,,2025-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-30 00:00:00,15732
,,,,,,,,,,,,,,7.0,2025-12-01 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-01 00:00:00,16100,1.0251512257242916,,,,,,2025-12-01 00:00:00,,2025-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-01 00:00:00,15705
,,,,,,,,,,,,,,8.0,2025-12-02 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-02 00:00:00,16100,1.0239776124149336,,,,,,2025-12-02 00:00:00,,2025-12-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02 00:00:00,15723
,,,,,,,,,,,,,,9.0,2025-12-03 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-03 00:00:00,16100,1.0239776124149336,,,,,,2025-12-03 00:00:00,,2025-12-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-03 00:00:00,15723
,,,,,,,,,,,,,,10.0,2025-12-04 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-04 00:00:00,16100,1.0239776124149336,,,,,,2025-12-04 00:00:00,,2025-12-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-04 00:00:00,15723
,,,,,,,,,,,,,,11.0,2025-12-05 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-05 00:00:00,16100,1.0221573233445496,,,,,,2025-12-05 00:00:00,,2025-12-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-05 00:00:00,15751
,,,,,,,,,,,,,,12.0,2025-12-06 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-06 00:00:00,16100,1.021184828111125,,,,,,2025-12-06 00:00:00,,2025-12-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-06 00:00:00,15766
,,,,,,,,,,,,,,13.0,2025-12-07 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-07 00:00:00,16100,1.0164141414141414,,,,,,2025-12-07 00:00:00,,2025-12-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-07 00:00:00,15840
