,,P_NORTH SANTAN TERMINAL,,,,,,,,,,,P_NORTH SANTAN TERMINAL,,,,,
DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (USD),Budget Vessel Fuel (USD),Actual Vessel Charter (USD),Budget Vessel Charter (USD),,,,DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (IDR),Budget Vessel Fuel (IDR),Actual Vessel Charter (IDR),Budget Vessel Charter (IDR)
2025-11-25 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-11-25 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-11-26 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-11-26 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-11-27 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-11-27 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-11-28 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-11-28 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-11-29 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-11-29 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-11-30 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-11-30 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-01 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-01 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-02 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-02 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-03 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-03 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-04 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-04 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-05 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-05 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-06 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.81095890411,,,,2025-12-06 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-07 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.81095890411,,,,2025-12-07 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-08 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-08 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-09 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-09 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-10 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-10 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-11 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-11 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-12 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-12 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-13 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-13 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-14 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-14 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-15 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-15 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-16 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-16 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-17 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-17 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-18 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-18 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-19 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-19 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
