,,"P_NORTH AND P_SOUTH
SECURITY PATROL",,,,,,,,,,,"P_NORTH AND P_SOUTH
SECURITY PATROL",,,,,
DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (USD),Budget Vessel Fuel (USD),Actual Vessel Charter (USD),Budget Vessel Charter (USD),,,,DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (IDR),Budget Vessel Fuel (IDR),Actual Vessel Charter (IDR),Budget Vessel Charter (IDR)
2025-11-25 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-11-25 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-11-26 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-11-26 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-11-27 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-11-27 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-11-28 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-11-28 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-11-29 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-11-29 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-11-30 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-11-30 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-01 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-01 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-02 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-02 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-03 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-03 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
